# packages in environment at /work/pa-hilario/anaconda3/envs/deeptools:
#
# Name                           Version          Build                 Channel
libgfortran                      15.2.0           h69a702a_17           conda-forge
libgfortran5                     15.2.0           h68bc16d_17           conda-forge
libgomp                          15.2.0           he0feb66_17           conda-forge
libiconv                         1.18             h3b78370_2            conda-forge
libjpeg-turbo                    3.1.2            hb03c661_0            conda-forge
liblapack                        3.11.0           5_h47877c9_openblas   conda-forge
liblzma                          5.8.2            hb03c661_0            conda-forge
libnghttp2                       1.67.0           had1ee68_0            conda-forge
libnsl                           2.0.1            hb9d3cd8_1            conda-forge
libopenblas                      0.3.30           pthreads_h94d23a6_4   conda-forge
libopenssl-static                3.6.1            hb03c661_1            conda-forge
libpng                           1.6.55           h421ea60_0            conda-forge
libsqlite                        3.51.2           hf4e2dac_0            conda-forge
libssh2                          1.11.1           hcf80075_0            conda-forge
libstdcxx                        15.2.0           h934c35e_17           conda-forge
libstdcxx-ng                     15.2.0           hdf11a46_17           conda-forge
libtiff                          4.7.1            h9d88235_1            conda-forge
libuuid                          2.41.3           h5347b49_0            conda-forge
libwebp-base                     1.6.0            hd42ef1d_0            conda-forge
libxcb                           1.17.0           h8a09558_0            conda-forge
libxcrypt                        4.4.36           hd590300_1            conda-forge
libzlib                          1.3.1            hb9d3cd8_2            conda-forge
markupsafe                       3.0.3            py312h8a5da7c_0       conda-forge
matplotlib-base                  3.10.8           py312he3d6523_0       conda-forge
munkres                          1.1.4            pyhd8ed1ab_1          conda-forge
mysql-connector-c                6.1.11           h659d440_1008         conda-forge
narwhals                         2.16.0           pyhcf101f3_0          conda-forge
natsort                          8.4.0            pypi_0                pypi
ncls                             0.0.70           pypi_0                pypi
ncurses                          6.5              h2d0b736_3            conda-forge
numpy                            2.4.2            py312h33ff503_1       conda-forge
numpydoc                         1.10.0           pyhcf101f3_0          conda-forge
openjpeg                         2.5.4            h55fea9a_0            conda-forge
openssl                          3.6.1            h35e630c_1            conda-forge
packaging                        26.0             pyhcf101f3_0          conda-forge
pandas                           3.0.0            pypi_0                pypi
pillow                           12.1.1           py312h50c33e8_0       conda-forge
pip                              26.0.1           pyh8b19718_0          conda-forge
plotly                           6.5.2            pyhd8ed1ab_0          conda-forge
pthread-stubs                    0.4              hb9d3cd8_1002         conda-forge
py2bit                           0.3.3            py312h0fa9677_1       bioconda
pybigwig                         0.3.25           py312h83fe50f_0       bioconda
pygments                         2.19.2           pyhd8ed1ab_0          conda-forge
pyparsing                        3.3.2            pyhcf101f3_0          conda-forge
pyranges                         0.1.4            pypi_0                pypi
pysam                            0.23.3           py312h8f9e533_2       bioconda
pysocks                          1.7.1            pyha55dd90_7          conda-forge
python                           3.12.12          hd63d673_2_cpython    conda-forge
python-dateutil                  2.9.0.post0      pyhe01879c_2          conda-forge
python_abi                       3.12             8_cp312               conda-forge
pytz                             2025.2           pyhd8ed1ab_0          conda-forge
qhull                            2020.2           h434a139_5            conda-forge
readline                         8.3              h853b02a_0            conda-forge
requests                         2.32.5           pyhcf101f3_1          conda-forge
roman-numerals                   4.1.0            pyhd8ed1ab_0          conda-forge
samtools                         1.22.1           h96c455f_0            bioconda
scipy                            1.17.0           py312h54fa4ab_1       conda-forge
setuptools                       82.0.0           pyh332efcf_0          conda-forge
six                              1.17.0           pyhe01879c_1          conda-forge
snowballstemmer                  3.0.1            pyhd8ed1ab_0          conda-forge
sorted-nearest                   0.0.41           pypi_0                pypi
sphinx                           9.1.0            pyhd8ed1ab_0          conda-forge
sphinxcontrib-applehelp          2.0.0            pyhd8ed1ab_1          conda-forge
sphinxcontrib-devhelp            2.0.0            pyhd8ed1ab_1          conda-forge
sphinxcontrib-htmlhelp           2.1.0            pyhd8ed1ab_1          conda-forge
sphinxcontrib-jsmath             1.0.1            pyhd8ed1ab_1          conda-forge
sphinxcontrib-qthelp             2.0.0            pyhd8ed1ab_1          conda-forge
sphinxcontrib-serializinghtml    1.1.10           pyhd8ed1ab_1          conda-forge
tabulate                         0.9.0            pypi_0                pypi
tk                               8.6.13           noxft_h366c992_103    conda-forge
tomli                            2.4.0            pyhcf101f3_0          conda-forge
tqdm                             4.67.3           pypi_0                pypi
tzdata                           2025c            hc9c84f9_1            conda-forge
ucsc-bigwiginfo                  482              h0b57e2e_0            bioconda
unicodedata2                     17.0.1           py312h4c3975b_0       conda-forge
urllib3                          2.6.3            pyhd8ed1ab_0          conda-forge
wheel                            0.46.3           pyhd8ed1ab_0          conda-forge
xorg-libxau                      1.0.12           hb03c661_1            conda-forge
xorg-libxdmcp                    1.1.5            hb03c661_1            conda-forge
zipp                             3.23.0           pyhcf101f3_1          conda-forge
zlib                             1.3.1            hb9d3cd8_2            conda-forge
zlib-ng                          2.3.3            hceb46e0_1            conda-forge
zstd                             1.5.7            hb78ec9c_6            conda-forge
Specified --scaleFactor: 1.0
normalization: CPM
bamFilesList: ['/work/pa-hilario/clipseq/20260421/OSM/output/mVenus-Sorbitol-rep5_L1_R1.genome.Aligned.sort.dedup.bam']
binLength: 1
numberOfSamples: None
blackListFileName: None
skipZeroOverZero: False
bed_and_bin: False
genomeChunkSize: None
defaultFragmentLength: read length
numberOfProcessors: 48
verbose: True
region: None
bedFile: None
minMappingQuality: None
ignoreDuplicates: False
chrsToSkip: []
stepSize: 1
center_read: False
samFlag_include: None
samFlag_exclude: None
minFragmentLength: 0
maxFragmentLength: 0
zerosToNans: False
smoothLength: None
save_data: False
out_file_for_raw_data: None
maxPairedFragmentLength: 1000
Final scaling factor: 39.69514131470308
ForkPoolWorker-39,  processing 41 (25390.0 per sec) reads @ chr13:95000000-100000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (5848228.7 per sec) @ chr13:95000000-100000000
ForkPoolWorker-39,  processing 10 (14538.3 per sec) reads @ chr5:75000000-80000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (12054392.0 per sec) @ chr5:75000000-80000000
ForkPoolWorker-39,  processing 55 (53080.2 per sec) reads @ chr20:45000000-50000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (12063704.6 per sec) @ chr20:45000000-50000000
ForkPoolWorker-39,  processing 0 (0.0 per sec) reads @ chrUn_KI270755v1:0-36723
ForkPoolWorker-39 countReadsInRegions_worker: processing 36723 (3871786.9 per sec) @ chrUn_KI270755v1:0-36723
ForkPoolWorker-39,  processing 0 (0.0 per sec) reads @ chrUn_KI270544v1:0-1202
ForkPoolWorker-39 countReadsInRegions_worker: processing 1202 (309468.6 per sec) @ chrUn_KI270544v1:0-1202
ForkPoolWorker-39,  processing 20 (34592.2 per sec) reads @ chr1:175000000-180000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (11986355.9 per sec) @ chr1:175000000-180000000
ForkPoolWorker-39,  processing 28 (38836.1 per sec) reads @ chr20:40000000-45000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (11964732.6 per sec) @ chr20:40000000-45000000
ForkPoolWorker-39,  processing 32 (38140.9 per sec) reads @ chr15:35000000-40000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (11978783.6 per sec) @ chr15:35000000-40000000
ForkPoolWorker-39,  processing 13 (23810.5 per sec) reads @ chr4:15000000-20000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (11979864.8 per sec) @ chr4:15000000-20000000
ForkPoolWorker-39,  processing 32 (47027.9 per sec) reads @ chr2:135000000-140000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (12065453.7 per sec) @ chr2:135000000-140000000
ForkPoolWorker-39,  processing 11 (21000.2 per sec) reads @ chr4:10000000-15000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (12044305.1 per sec) @ chr4:10000000-15000000
ForkPoolWorker-39,  processing 0 (0.0 per sec) reads @ chrUn_KI270337v1:0-1121
ForkPoolWorker-39 countReadsInRegions_worker: processing 1121 (284561.8 per sec) @ chrUn_KI270337v1:0-1121
ForkPoolWorker-39,  processing 50 (58826.1 per sec) reads @ chr7:25000000-30000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (12122258.9 per sec) @ chr7:25000000-30000000
ForkPoolWorker-39,  processing 62 (65272.8 per sec) reads @ chr14:100000000-105000000
ForkPoolWorker-39 countReadsInRegions_worker: processing 5000000 (12083027.5 per sec) @ chr14:100000000-105000000
ForkPoolWorker-39,  processing 0 (0.0 per sec) reads @ chrUn_GL000220v1:0-161802
ForkPoolWorker-39 countReadsInRegions_worker: processing 161802 (9275819.4 per sec) @ chrUn_GL000220v1:0-161802
ForkPoolWorker-38,  processing 60 (21144.2 per sec) reads @ chr19:35000000-40000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (10790577.6 per sec) @ chr19:35000000-40000000
ForkPoolWorker-38,  processing 34 (38500.6 per sec) reads @ chr12:75000000-80000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (11721990.4 per sec) @ chr12:75000000-80000000
ForkPoolWorker-38,  processing 27 (38142.9 per sec) reads @ chr3:195000000-198295559
ForkPoolWorker-38 countReadsInRegions_worker: processing 3295559 (11735250.7 per sec) @ chr3:195000000-198295559
ForkPoolWorker-38,  processing 0 (0.0 per sec) reads @ chrUn_KI270468v1:0-4055
ForkPoolWorker-38 countReadsInRegions_worker: processing 4055 (987625.7 per sec) @ chrUn_KI270468v1:0-4055
ForkPoolWorker-38,  processing 21 (38212.7 per sec) reads @ chr4:85000000-90000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (12252217.3 per sec) @ chr4:85000000-90000000
ForkPoolWorker-38,  processing 87 (83693.7 per sec) reads @ chr17:80000000-83257441
ForkPoolWorker-38 countReadsInRegions_worker: processing 3257441 (12181424.4 per sec) @ chr17:80000000-83257441
ForkPoolWorker-38,  processing 13 (28517.8 per sec) reads @ chr2:75000000-80000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (12029016.7 per sec) @ chr2:75000000-80000000
ForkPoolWorker-38,  processing 6 (13934.6 per sec) reads @ chrX:55000000-60000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (11990378.7 per sec) @ chrX:55000000-60000000
ForkPoolWorker-38,  processing 19 (32056.2 per sec) reads @ chr2:5000000-10000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (11914174.2 per sec) @ chr2:5000000-10000000
ForkPoolWorker-38,  processing 56 (69697.6 per sec) reads @ chr11:5000000-10000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (12073163.7 per sec) @ chr11:5000000-10000000
ForkPoolWorker-38,  processing 16 (28976.2 per sec) reads @ chr3:105000000-110000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (12043910.9 per sec) @ chr3:105000000-110000000
ForkPoolWorker-38,  processing 10 (19784.5 per sec) reads @ chr7:35000000-40000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (12006201.3 per sec) @ chr7:35000000-40000000
ForkPoolWorker-38,  processing 0 (0.0 per sec) reads @ chrEBV:0-171823
ForkPoolWorker-38 countReadsInRegions_worker: processing 171823 (9636277.2 per sec) @ chrEBV:0-171823
ForkPoolWorker-38,  processing 217 (120759.4 per sec) reads @ chr6:25000000-30000000
ForkPoolWorker-38 countReadsInRegions_worker: processing 5000000 (11798542.5 per sec) @ chr6:25000000-30000000
ForkPoolWorker-38,  processing 0 (0.0 per sec) reads @ chr14_KI270722v1_random:0-194050
ForkPoolWorker-38 countReadsInRegions_worker: processing 194050 (10261544.8 per sec) @ chr14_KI270722v1_random:0-194050
ForkPoolWorker-11,  processing 29 (3156.6 per sec) reads @ chr1:35000000-40000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (9964359.9 per sec) @ chr1:35000000-40000000
ForkPoolWorker-11,  processing 21 (38479.9 per sec) reads @ chr9:95000000-100000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (10958664.7 per sec) @ chr9:95000000-100000000
ForkPoolWorker-11,  processing 59 (75492.4 per sec) reads @ chr15:80000000-85000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (11105290.9 per sec) @ chr15:80000000-85000000
ForkPoolWorker-11,  processing 46 (63299.9 per sec) reads @ chr6:165000000-170000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (11162081.7 per sec) @ chr6:165000000-170000000
ForkPoolWorker-11,  processing 16 (30601.4 per sec) reads @ chr5:165000000-170000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (11291802.8 per sec) @ chr5:165000000-170000000
ForkPoolWorker-11,  processing 32 (40439.2 per sec) reads @ chr4:180000000-185000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (11207009.5 per sec) @ chr4:180000000-185000000
ForkPoolWorker-11,  processing 0 (0.0 per sec) reads @ chrUn_KI270389v1:0-1298
ForkPoolWorker-11 countReadsInRegions_worker: processing 1298 (362415.6 per sec) @ chrUn_KI270389v1:0-1298
ForkPoolWorker-11,  processing 30 (48827.8 per sec) reads @ chr7:155000000-159345973
ForkPoolWorker-11 countReadsInRegions_worker: processing 4345973 (11476724.3 per sec) @ chr7:155000000-159345973
ForkPoolWorker-11,  processing 0 (0.0 per sec) reads @ chrUn_KI270744v1:0-168472
ForkPoolWorker-11 countReadsInRegions_worker: processing 168472 (9314581.5 per sec) @ chrUn_KI270744v1:0-168472
ForkPoolWorker-11,  processing 16 (31760.0 per sec) reads @ chr8:135000000-140000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (11829683.0 per sec) @ chr8:135000000-140000000
ForkPoolWorker-11,  processing 77 (79060.3 per sec) reads @ chr1:150000000-155000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (12042583.0 per sec) @ chr1:150000000-155000000
ForkPoolWorker-11,  processing 34 (52641.7 per sec) reads @ chr21:45000000-46709983
ForkPoolWorker-11 countReadsInRegions_worker: processing 1709983 (11579102.2 per sec) @ chr21:45000000-46709983
ForkPoolWorker-11,  processing 76 (76608.3 per sec) reads @ chrX:50000000-55000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (11879976.2 per sec) @ chrX:50000000-55000000
ForkPoolWorker-11,  processing 0 (0.0 per sec) reads @ chrUn_GL000218v1:0-161147
ForkPoolWorker-11 countReadsInRegions_worker: processing 161147 (9963141.3 per sec) @ chrUn_GL000218v1:0-161147
ForkPoolWorker-11,  processing 9 (18613.8 per sec) reads @ chr6:75000000-80000000
ForkPoolWorker-11 countReadsInRegions_worker: processing 5000000 (11804466.5 per sec) @ chr6:75000000-80000000
ForkPoolWorker-41,  processing 70 (15876.3 per sec) reads @ chr7:135000000-140000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (8509701.0 per sec) @ chr7:135000000-140000000
ForkPoolWorker-41,  processing 32 (43548.9 per sec) reads @ chr16:10000000-15000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (12019461.3 per sec) @ chr16:10000000-15000000
ForkPoolWorker-41,  processing 0 (0.0 per sec) reads @ chrUn_KI270312v1:0-998
ForkPoolWorker-41 countReadsInRegions_worker: processing 998 (263033.5 per sec) @ chrUn_KI270312v1:0-998
ForkPoolWorker-41,  processing 63 (70766.2 per sec) reads @ chr11:25000000-30000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (11957017.2 per sec) @ chr11:25000000-30000000
ForkPoolWorker-41,  processing 0 (0.0 per sec) reads @ chrUn_GL000224v1:0-179693
ForkPoolWorker-41 countReadsInRegions_worker: processing 179693 (9313517.2 per sec) @ chrUn_GL000224v1:0-179693
ForkPoolWorker-41,  processing 0 (0.0 per sec) reads @ chrUn_KI270420v1:0-2321
ForkPoolWorker-41 countReadsInRegions_worker: processing 2321 (547524.2 per sec) @ chrUn_KI270420v1:0-2321
ForkPoolWorker-41,  processing 18 (30890.9 per sec) reads @ chr14:40000000-45000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (11914519.4 per sec) @ chr14:40000000-45000000
ForkPoolWorker-41,  processing 2 (4387.3 per sec) reads @ chr11:50000000-55000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (11865820.1 per sec) @ chr11:50000000-55000000
ForkPoolWorker-41,  processing 36 (54907.3 per sec) reads @ chr5:125000000-130000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (11854659.0 per sec) @ chr5:125000000-130000000
ForkPoolWorker-41,  processing 37 (47779.9 per sec) reads @ chrX:105000000-110000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (11819255.7 per sec) @ chrX:105000000-110000000
ForkPoolWorker-41,  processing 0 (0.0 per sec) reads @ chr15:0-5000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (11809618.2 per sec) @ chr15:0-5000000
ForkPoolWorker-41,  processing 37 (53476.7 per sec) reads @ chrX:20000000-25000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (11818649.6 per sec) @ chrX:20000000-25000000
ForkPoolWorker-41,  processing 3 (7010.0 per sec) reads @ chr5:45000000-50000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (11745296.2 per sec) @ chr5:45000000-50000000
ForkPoolWorker-41,  processing 0 (0.0 per sec) reads @ chrY:50000000-55000000
ForkPoolWorker-41 countReadsInRegions_worker: processing 5000000 (11839968.2 per sec) @ chrY:50000000-55000000
ForkPoolWorker-41,  processing 73 (75995.1 per sec) reads @ chr19:55000000-58617616
ForkPoolWorker-41 countReadsInRegions_worker: processing 3617616 (11626149.9 per sec) @ chr19:55000000-58617616
ForkPoolWorker-15,  processing 47 (32028.0 per sec) reads @ chr20:0-5000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (10709426.4 per sec) @ chr20:0-5000000
ForkPoolWorker-15,  processing 6 (13052.8 per sec) reads @ chr18:65000000-70000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (11976307.2 per sec) @ chr18:65000000-70000000
ForkPoolWorker-15,  processing 0 (0.0 per sec) reads @ chrUn_KI270582v1:0-6504
ForkPoolWorker-15 countReadsInRegions_worker: processing 6504 (1624278.3 per sec) @ chrUn_KI270582v1:0-6504
ForkPoolWorker-15,  processing 28 (53748.5 per sec) reads @ chr6:45000000-50000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (12145342.0 per sec) @ chr6:45000000-50000000
ForkPoolWorker-15,  processing 10 (18157.2 per sec) reads @ chr6:65000000-70000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (12016086.8 per sec) @ chr6:65000000-70000000
ForkPoolWorker-15,  processing 13 (28369.4 per sec) reads @ chr7:105000000-110000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (12063496.4 per sec) @ chr7:105000000-110000000
ForkPoolWorker-15,  processing 13 (28743.3 per sec) reads @ chr13:55000000-60000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (12032225.9 per sec) @ chr13:55000000-60000000
ForkPoolWorker-15,  processing 30 (46689.8 per sec) reads @ chr4:105000000-110000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (12025754.0 per sec) @ chr4:105000000-110000000
ForkPoolWorker-15,  processing 80 (92258.5 per sec) reads @ chr9:90000000-95000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (12012425.1 per sec) @ chr9:90000000-95000000
ForkPoolWorker-15,  processing 47 (57573.7 per sec) reads @ chr14:60000000-65000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (11867424.9 per sec) @ chr14:60000000-65000000
ForkPoolWorker-15,  processing 0 (0.0 per sec) reads @ chrUn_KI270521v1:0-7642
ForkPoolWorker-15 countReadsInRegions_worker: processing 7642 (1759310.1 per sec) @ chrUn_KI270521v1:0-7642
ForkPoolWorker-15,  processing 23 (41689.3 per sec) reads @ chr8:55000000-60000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (12090076.9 per sec) @ chr8:55000000-60000000
ForkPoolWorker-15,  processing 0 (0.0 per sec) reads @ chr22:5000000-10000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (11901787.0 per sec) @ chr22:5000000-10000000
ForkPoolWorker-15,  processing 33 (50774.8 per sec) reads @ chr2:235000000-240000000
ForkPoolWorker-15 countReadsInRegions_worker: processing 5000000 (11911426.8 per sec) @ chr2:235000000-240000000
ForkPoolWorker-15,  processing 0 (0.0 per sec) reads @ chrUn_KI270588v1:0-6158
ForkPoolWorker-15 countReadsInRegions_worker: processing 6158 (1512740.1 per sec) @ chrUn_KI270588v1:0-6158
ForkPoolWorker-30,  processing 28 (22777.4 per sec) reads @ chr17:50000000-55000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (8477091.9 per sec) @ chr17:50000000-55000000
ForkPoolWorker-30,  processing 63 (53371.3 per sec) reads @ chrX:150000000-155000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (11826194.1 per sec) @ chrX:150000000-155000000
ForkPoolWorker-30,  processing 0 (0.0 per sec) reads @ chr22_KI270735v1_random:0-42811
ForkPoolWorker-30 countReadsInRegions_worker: processing 42811 (6235020.3 per sec) @ chr22_KI270735v1_random:0-42811
ForkPoolWorker-30,  processing 12 (23944.6 per sec) reads @ chr16:15000000-20000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (12059854.4 per sec) @ chr16:15000000-20000000
ForkPoolWorker-30,  processing 0 (0.0 per sec) reads @ chrUn_KI270320v1:0-4416
ForkPoolWorker-30 countReadsInRegions_worker: processing 4416 (1130358.0 per sec) @ chrUn_KI270320v1:0-4416
ForkPoolWorker-30,  processing 15 (26806.4 per sec) reads @ chr10:20000000-25000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (11972874.9 per sec) @ chr10:20000000-25000000
ForkPoolWorker-30,  processing 14 (26788.4 per sec) reads @ chr5:85000000-90000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (12070189.7 per sec) @ chr5:85000000-90000000
ForkPoolWorker-30,  processing 23 (39072.1 per sec) reads @ chr14:70000000-75000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (11983130.0 per sec) @ chr14:70000000-75000000
ForkPoolWorker-30,  processing 145 (109758.9 per sec) reads @ chr3:45000000-50000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (11823980.4 per sec) @ chr3:45000000-50000000
ForkPoolWorker-30,  processing 32 (47764.3 per sec) reads @ chr10:125000000-130000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (11885416.3 per sec) @ chr10:125000000-130000000
ForkPoolWorker-30,  processing 42 (64409.8 per sec) reads @ chr10:60000000-65000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (12003809.8 per sec) @ chr10:60000000-65000000
ForkPoolWorker-30,  processing 0 (0.0 per sec) reads @ chr14_KI270723v1_random:0-38115
ForkPoolWorker-30 countReadsInRegions_worker: processing 38115 (6417997.4 per sec) @ chr14_KI270723v1_random:0-38115
ForkPoolWorker-30,  processing 30 (50051.4 per sec) reads @ chr3:140000000-145000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (11972751.8 per sec) @ chr3:140000000-145000000
ForkPoolWorker-30,  processing 14 (29611.8 per sec) reads @ chr4:115000000-120000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (11862752.8 per sec) @ chr4:115000000-120000000
ForkPoolWorker-30,  processing 53 (72527.9 per sec) reads @ chr15:85000000-90000000
ForkPoolWorker-30 countReadsInRegions_worker: processing 5000000 (11977264.8 per sec) @ chr15:85000000-90000000
ForkPoolWorker-32,  processing 11 (8206.6 per sec) reads @ chr7:90000000-95000000
ForkPoolWorker-32 countReadsInRegions_worker: processing 5000000 (10773775.3 per sec) @ chr7:90000000-95000000
ForkPoolWorker-32,  processing 21 (36366.8 per sec) reads @ chr1:75000000-80000000
ForkPoolWorker-32 countReadsInRegions_worker: processing 5000000 (11970380.5 per sec) @ chr1:75000000-80000000
ForkPoolWorker-32,  processing 37 (42681.3 per sec) reads @ chr6:10000000-15000000
ForkPoolWorker-32 countReadsInRegions_worker: processing 5000000 (11933027.4 per sec) @ chr6:10000000-15000000
ForkPoolWorker-32,  processing 59 (74649.8 per sec) reads @ chr22:45000000-50000000
ForkPoolWorker-32 countReadsInRegions_worker: processing 5000000 (11051072.1 per sec) @ chr22:45000000-50000000
ForkPoolWorker-32,  processing 72 (80854.1 per sec) reads @ chr11:30000000-35000000
ForkPoolWorker-32 countReadsInRegions_worker: processing 5000000 (11913037.2 per sec) @ chr11:30000000-35000000
